Week,Activity,Day,Topic
35,Exams,Friday,Register group for Assignment 1
38,Exams,Friday,Deadline Assignment 1
39,Exams,Friday,Register group for Assignment 2
45,Exams,Friday,Deadline Assignment 2
46,Exams,Friday,Register group for Assignment 3
49,Exams,Friday,Deadline Assignment 3
,,,
35,lectures,Monday,"Variables, measurement levels, parameters and statistics, and sampling designs."
36,lectures,Monday,Describing data with a probability distribution
37,lectures,Monday,Sampling distribution of the mean and the standard error.
38,lectures,Monday,"Testing: Hypotheses, p-values, Type I, Type II errors and Power. Z-test and (one-sample) t-test."
39,lectures,Monday,General Linear Model (GLM) I: Bivariate regression 
40,lectures,Monday,"GLM II: Sums of squares, explained variance, and correlation"
41,lectures,Monday,GLM III: Differences between two groups: dummy variables and two-sample t-test 
,,,
43,lectures,Monday,GLM IV: Differences between more groups: dummy variables and ANOVA
44,lectures,Monday,GLM V: More than one predictor - multiple regression analysis
45,lectures,Monday,GLM VI: Comparing nested models
46,lectures,Monday,Major BE: GLM VII: Interaction
47,lectures,Monday,Major BE: GLM VIII: Logistic regression
48,lectures,Monday,Major BE: Confindence Intervals
46,lectures,Monday,Major SS: GLM VII: Interaction
47,lectures,Monday,Major SS: Psychometrics I: Reliability and validity
48,lectures,Monday,Major SS: Psychometrics II: Dimension Reduction
46,lectures,Monday,Major CN: GLM IV+: Contrasts
47,lectures,Monday,Major CN: GLM IV+: Factorial ANOVA 
48,lectures,Monday,Major CN: GLM IV+: ANCOVA
49,lectures,Monday,Major CN: GLM IV+: Repeated measures ANOVA
,,,
35,Lab session,Thursday,BE Introduction to SPSS
36,Lab session,Friday,BE SPSS skills and normal distribution
37,Lab session,Saturday,BE Normal distribution and sampling distribution
38,Lab session,Sunday,BE Hypothesis testing and one-sample t-test
39,Lab session,Monday,"BE p-value, effect size, independent samples t-test"
41,Lab session,Tuesday,"BE ANOVA, correlations and regression analysis"
43,Lab session,Wednesday,BE Regression analysis
44,Lab session,Thursday,BE MRA
45,Lab session,Friday,BE Model comparison & dummies
,,,
35,Lab session,Wednesday,SS Introduction to SPSS
36,Lab session,Wednesday,SS SPSS skills and normal distribution
37,Lab session,Wednesday,SS Normal distribution and sampling distribution
38,Lab session,Wednesday,SS Hypothesis testing and one-sample t-test
39,Lab session,Wednesday,"SS p-value, effect size, independent samples t-test"
41,Lab session,Wednesday,"SS ANOVA, correlations and regression analysis"
43,Lab session,Wednesday,SS Regression analysis
44,Lab session,Wednesday,SS MRA
45,Lab session,Wednesday,SS Model comparison & dummies
,,,
35,Lab session,Wednesday,CN Introduction to SPSS
36,Lab session,Wednesday,CN SPSS skills and normal distribution
37,Lab session,Wednesday,CN Normal distribution and sampling distribution
38,Lab session,Wednesday,CN Hypothesis testing and one-sample t-test
39,Lab session,Wednesday,"CN p-value, effect size, independent samples t-test"
41,Lab session,Wednesday,"CN ANOVA, correlations and regression analysis"
43,Lab session,Wednesday,CN Regression analysis
44,Lab session,Wednesday,CN MRA
45,Lab session,Wednesday,CN Model comparison & dummies
,,,
46,Lab session,,Major BE: Interaction @sec-interaction
46,Lab session,,Major CN: Contrasts
46,Lab session,,Major SS: Interaction
47,Lab session,,Major CN: Factorial ANOVA
47,Lab session,,Major SS: Reliability
47,Lab session,,Major BE: Logistic regression
48,Lab session,,Major CN: ANCOVA
48,Lab session,,Major BE: Confidence Intervals
48,Lab session,,Major SS: Dimension Reduction
